D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;643;5.399945
D2;PREDRIVE;1;644;5.407928
D2;PREDRIVE;1;645;5.416096
D2;PREDRIVE;1;646;5.42433
D2;PREDRIVE;1;647;5.432857
D2;PREDRIVE;1;648;5.440836
D2;PREDRIVE;1;649;5.44903
D2;PREDRIVE;1;650;5.457813
D2;PREDRIVE;1;651;5.465794
D2;PREDRIVE;1;652;5.474318
D2;PREDRIVE;1;653;5.481963
D2;PREDRIVE;1;654;5.490327
D2;PREDRIVE;1;655;5.49843
D2;PREDRIVE;1;656;5.506663
D2;PREDRIVE;1;657;5.515225
D2;PREDRIVE;1;658;5.52316
D2;PREDRIVE;1;659;5.532181
D2;PREDRIVE;1;660;5.539597
D2;PREDRIVE;1;661;5.548101
D2;PREDRIVE;1;662;5.556084
D2;PREDRIVE;1;663;5.564297
D2;PREDRIVE;1;664;5.572598
D2;PREDRIVE;1;665;5.580763
D2;PREDRIVE;1;666;5.589535
D2;PREDRIVE;1;667;5.597478
D2;PREDRIVE;1;668;5.605475
D2;PREDRIVE;1;669;5.613696
D2;PREDRIVE;1;670;5.622405
D2;PREDRIVE;1;671;5.630416
D2;PREDRIVE;1;672;5.638397
D2;PREDRIVE;1;673;5.646629
D2;PREDRIVE;1;674;5.654861
D2;PREDRIVE;1;675;5.663273
D2;PREDRIVE;1;676;5.671329
D2;PREDRIVE;1;677;5.67979
D2;PREDRIVE;1;678;5.687796
D2;PREDRIVE;1;679;5.696769
D2;PREDRIVE;1;680;5.704725
D2;PREDRIVE;1;681;5.71271
D2;PREDRIVE;1;682;5.720729
D2;PREDRIVE;1;683;5.728962
D2;PREDRIVE;1;684;5.73764
D2;PREDRIVE;1;685;5.745663
D2;PREDRIVE;1;686;5.753662
